CP015625.1,BaApis_BBC0122.fna
JDUF01000058.1,BiCoryneforme_DSM20216.fna
JDUF01000059.1,BiCoryneforme_DSM20216.fna
JDUF01000006.1,BiCoryneforme_DSM20216.fna
JDUF01000060.1,BiCoryneforme_DSM20216.fna
JDUF01000061.1,BiCoryneforme_DSM20216.fna
JDUF01000062.1,BiCoryneforme_DSM20216.fna
JDUF01000063.1,BiCoryneforme_DSM20216.fna
JDUF01000064.1,BiCoryneforme_DSM20216.fna
JDUF01000065.1,BiCoryneforme_DSM20216.fna
JDUF01000066.1,BiCoryneforme_DSM20216.fna
JDUF01000067.1,BiCoryneforme_DSM20216.fna
JDUF01000007.1,BiCoryneforme_DSM20216.fna
JDUF01000008.1,BiCoryneforme_DSM20216.fna
JDUF01000009.1,BiCoryneforme_DSM20216.fna
CP007287.1,BiCoryneforme_LMG18911.fna
QGLI01000001.1,BiIndicum_ESL0197.fna
QGLI01000002.1,BiIndicum_ESL0197.fna
QGLI01000003.1,BiIndicum_ESL0197.fna
QGLI01000004.1,BiIndicum_ESL0197.fna
QGLI01000005.1,BiIndicum_ESL0197.fna
QGLI01000006.1,BiIndicum_ESL0197.fna
CP006018.1,BiIndicum_LMG11587_complete.fna
JDUE01000001.1,BiIndicum_LMG11587_contig.fna
JDUE01000010.1,BiIndicum_LMG11587_contig.fna
JDUE01000011.1,BiIndicum_LMG11587_contig.fna
JDUE01000012.1,BiIndicum_LMG11587_contig.fna
JDUE01000013.1,BiIndicum_LMG11587_contig.fna
JDUE01000014.1,BiIndicum_LMG11587_contig.fna
JDUE01000015.1,BiIndicum_LMG11587_contig.fna
JDUE01000016.1,BiIndicum_LMG11587_contig.fna
JDUE01000017.1,BiIndicum_LMG11587_contig.fna
JDUE01000018.1,BiIndicum_LMG11587_contig.fna
JDUE01000019.1,BiIndicum_LMG11587_contig.fna
JDUE01000002.1,BiIndicum_LMG11587_contig.fna
JDUE01000020.1,BiIndicum_LMG11587_contig.fna
JDUE01000021.1,BiIndicum_LMG11587_contig.fna
JDUE01000022.1,BiIndicum_LMG11587_contig.fna
JDUE01000023.1,BiIndicum_LMG11587_contig.fna
JDUE01000024.1,BiIndicum_LMG11587_contig.fna
JDUE01000025.1,BiIndicum_LMG11587_contig.fna
JDUE01000026.1,BiIndicum_LMG11587_contig.fna
JDUE01000027.1,BiIndicum_LMG11587_contig.fna
JDUE01000028.1,BiIndicum_LMG11587_contig.fna
JDUE01000029.1,BiIndicum_LMG11587_contig.fna
JDUE01000003.1,BiIndicum_LMG11587_contig.fna
JDUE01000030.1,BiIndicum_LMG11587_contig.fna
JDUE01000004.1,BiIndicum_LMG11587_contig.fna
JDUE01000005.1,BiIndicum_LMG11587_contig.fna
JDUE01000006.1,BiIndicum_LMG11587_contig.fna
JDUE01000007.1,BiIndicum_LMG11587_contig.fna
JDUE01000008.1,BiIndicum_LMG11587_contig.fna
JDUE01000009.1,BiIndicum_LMG11587_contig.fna
WHNS01000001.1,BoApis_SME1.fna
WHNS01000002.1,BoApis_SME1.fna
WHNS01000003.1,BoApis_SME1.fna
WHNS01000004.1,BoApis_SME1.fna
WHNS01000005.1,BoApis_SME1.fna
WHNS01000006.1,BoApis_SME1.fna
WHNS01000007.1,BoApis_SME1.fna
WHNS01000008.1,BoApis_SME1.fna
WHNS01000009.1,BoApis_SME1.fna
WHNS01000010.1,BoApis_SME1.fna
WHNS01000011.1,BoApis_SME1.fna
JATM01000005.1,BoIntestini_R52487.fna
JATM01000008.1,BoIntestini_R52487.fna
